Quote Tag,URL
love,https://quotes.toscrape.com//tag/love/
inspirational,https://quotes.toscrape.com//tag/inspirational/
life,https://quotes.toscrape.com//tag/life/
humor,https://quotes.toscrape.com//tag/humor/
books,https://quotes.toscrape.com//tag/books/
reading,https://quotes.toscrape.com//tag/reading/
friendship,https://quotes.toscrape.com//tag/friendship/
friends,https://quotes.toscrape.com//tag/friends/
truth,https://quotes.toscrape.com//tag/truth/
simile,https://quotes.toscrape.com//tag/simile/
